,month,day,Date,Class,Lat,Lon,Max wind,Min pres,SST,UWND,VWND,rhum,airtemp,key,year,distance,direction,gridID
34,9,1,1800, TS,19,42.4,60,990,26.109999,-10.61999512,2.919998169,92.69999695,294.7999878,              BERYL1982,1982,47.79880737,40.17335291,1504
35,9,2,0, TS,19.2,43.2,55,994,26.619999,-4.779998779,16.19000244,96.22000122,297.2000122,              BERYL1982,1982,54.02877721,43.71082894,1628
36,9,2,600, TS,19.4,44.1,45,1000,26.15,-6.029998779,4.86000061,98,296.9299927,              BERYL1982,1982,60.29418232,55.59409852,1629
37,9,2,1200, TS,19.7,45.1,35,1005,27.279999,-6.029998779,4.86000061,98,296.9299927,              BERYL1982,1982,68.32979203,89.11720317,1630
38,9,2,1800, TD,19.9,46.2,30,1008,26.849998,-6.029998779,4.86000061,98,296.9299927,              BERYL1982,1982,72.83230715,147.773494,1631
39,9,3,0, TD,20.1,47.4,30,1009,27.039999,-5.100006104,4.339996338,98,299.2799988,              BERYL1982,1982,79.12764836,161.5956038,1632
40,9,3,600, TD,20.1,48.6,30,1009,26.859999,-5.100006104,4.339996338,98,299.2799988,              BERYL1982,1982,77.86211419,85.3521908,1633
41,9,3,1200, TD,20,49.8,30,1006,26.84,-4.490005493,-3.820007324,97.72999573,299.1499939,              BERYL1982,1982,78.19279971,23.32297318,1635
42,9,3,1800, TD,20,51,30,1006,27.08,-4.490005493,-3.820007324,97.72999573,299.1499939,              BERYL1982,1982,77.91172769,33.32666944,1636
43,9,4,0, TD,19.9,51.9,30,1008,27.38,-1.900009155,3.009994507,98,298.0999756,              BERYL1982,1982,58.85931974,133.039472,1637
44,9,4,600, TD,19.9,52.9,30,1009,27.4,-1.900009155,3.009994507,98,298.0999756,              BERYL1982,1982,64.96762858,154.796134,1638
45,9,4,1200, TD,19.8,53.8,30,1009,27.539999,-3.63999939,-3.600006104,97.50999451,297.3300171,              BERYL1982,1982,58.89600711,143.4070008,1639
46,9,4,1800, TD,19.7,54.9,30,1009,27.9,-3.63999939,-3.600006104,97.50999451,297.3300171,              BERYL1982,1982,71.86475637,67.80588949,1640
47,9,5,0, TD,19.6,55.9,30,1009,27.199999,-6.970001221,4.5,90.33999634,301.1400146,              BERYL1982,1982,65.43541916,38.19656358,1641
48,9,5,600, TD,19.4,57,25,1009,27.15,-7.520004272,0.690002441,91.74000549,301.4500122,              BERYL1982,1982,72.96370429,68.31299428,1642
49,9,5,1200, TD,19.4,58.3,25,1010,27.68,-7.520004272,0.690002441,91.74000549,301.4500122,              BERYL1982,1982,84.72142466,111.1797719,1643
50,9,5,1800, TD,19.5,59.7,30,1010,27.66,-7.369995117,-1.790008545,89.44999695,301.7399902,              BERYL1982,1982,91.47165515,127.6115102,1645
